query,broad_category,color,details,fit_type,hem_shaped,length,material,neckline,occasion,pattern_type,sleeve_length,sleeve_type,type,waist_line
gold pleated necklace,accessories,gold,pleated,-,-,-,-,-,-,-,-,-,-,-
maroon crossbody handbag,bag,maroon,-,-,-,-,-,-,-,-,-,-,-,-
black boots,footwear,black,-,-,-,-,-,-,-,-,-,-,-,-
black and white handbag,bag,white,-,-,-,-,-,-,-,-,-,-,-,-
mocha platform heels,footwear,-,-,-,-,-,-,-,-,-,-,-,-,-
emerald green satin slip dress,tops,emerald green,-,-,-,-,satin,-,-,-,-,-,-,-
purple buttoned blazer,outerwear,purple,button,-,-,-,-,-,-,-,-,-,-,-
3 layer gold necklace with pendant,accessories,gold,-,-,-,-,-,-,-,-,-,-,-,-
green cross body bag,bag,green,-,skinny,-,-,-,-,-,-,-,-,-,-
white stilettoes,footwear,white,-,-,-,-,-,-,-,-,-,-,-,-
green cross body bag,accessories_1,green,-,skinny,-,-,-,-,-,-,-,-,-,-
black turtleneck top,tops,black,-,-,-,-,-,-,-,-,-,-,top,-
mom fit high ankle jeans,bottoms,-,-,-,-,-,-,-,-,-,-,-,-,-
brown coat with belt,outerwear,brown,belted,-,-,-,-,-,-,-,-,-,coat,-
black casual boots,footwear,black,-,-,-,-,-,-,casual,-,-,-,-,-
white polo neck top,tops,white,-,-,-,-,-,polo,-,-,-,-,top,-
black mini skirt,bottoms,black,-,-,-,mini,-,-,-,-,-,-,skirt,-
light green ribbed sweater vest,outerwear,light green,ribbed,-,-,-,-,-,-,-,-,-,sweater vest,-
womes black stockings,accessories,black,-,-,-,-,-,-,-,-,-,-,-,-
black ankle boots,footwear,black,-,-,-,maxi,-,-,-,-,-,-,-,-
white oversized t-shirt,tops,white,-,oversized,-,-,-,-,-,-,-,-,tee,-
black leggings,bottoms,black,-,-,-,-,-,-,-,-,-,-,leggings,-
grey oversized sweatshirt,outerwear,grey,-,oversized,-,-,-,-,-,-,-,-,sweatshirt,-
white socks,accessories,white,-,-,-,-,-,-,-,-,-,-,-,-
black tote bag,bag,black,-,-,-,-,-,-,-,-,-,-,-,-
womens white sneakers,footwear,white,-,-,-,-,-,-,-,-,-,-,-,-
white crop top,tops,white,-,-,-,crop,-,-,-,-,-,-,top,-
blue wide leg jeans,bottoms,blue,-,-,-,-,-,-,-,-,-,-,jeans,-
black faux leather jacket,outerwear,black,-,-,-,-,faux leather,-,-,-,-,-,jacket,-
layered gold pleated necklace,accessories,gold,pleated,-,-,-,-,-,-,-,-,-,-,-
leather chelsea boots,footwear,-,-,-,-,-,-,-,-,-,-,-,-,-
womes sleeveless black sports top,tops,black,-,-,-,-,-,-,sports,-,sleeveless,-,top,-
low waist wide leg jeans,bottoms,-,-,-,-,-,-,-,-,-,-,-,jeans,drop
grey relaxed fit hoodie,outerwear,grey,-,loose,-,-,-,-,-,-,-,-,-,-
womens white trainers,footwear,white,-,-,-,-,-,-,-,-,-,-,-,-
womens rib knit polo neck jumper,tops,-,rib knit,-,-,-,-,polo,-,-,-,-,jumper,-
womens loose straight blue jeans,bottoms,blue,-,loose,straight,-,-,-,-,-,-,-,jeans,-
black oversized blazer,outerwear,black,-,oversized,-,-,-,-,-,-,-,-,-,-
black belt,accessories,black,belted,-,-,-,-,-,-,-,-,-,-,-
off white ribbed turtleneck pullover,tops,off white,ribbed,-,-,-,-,-,-,-,-,-,pullovers,-
brown pleated a-line midi skirt,bottoms,brown,pleated,-,-,midi,-,-,-,-,-,-,skirt,-
gold pleated layered necklace,accessories,gold,pleated,-,-,-,-,-,-,-,-,-,-,-
tan brown heeled chelsea boots,footwear,tan,-,-,-,-,-,-,-,-,-,-,-,-
womens white formal shirt,tops,white,-,-,-,-,-,-,work,-,-,-,shirt,-
white wide legged high jeans,bottoms,white,-,-,-,-,-,high,-,-,-,wide,jeans,-
womens black vneck pullover,outerwear,black,-,-,-,-,-,-,-,-,-,-,pullovers,-
womens white formal shirt,footwear,white,-,-,-,-,-,-,work,-,-,-,shirt,-
white cami top,tops,white,-,-,-,-,-,-,-,-,-,-,cami,-
low waist blue wide legged jeans,bottoms,blue,-,-,-,-,-,-,-,-,-,wide,jeans,drop
white ribbed top with buttons,outerwear,white,button,-,-,-,-,-,-,-,-,-,top,-
womens white trainers ,footwear,white,-,-,-,-,-,-,-,-,-,-,-,-
brown pullover sweater,tops,brown,-,-,-,-,-,-,-,-,-,-,sweater,-
black ankle length trousers,bottoms,black,-,-,-,maxi,-,-,-,-,-,-,trousers,-
black shoulder bag,bag,black,-,-,-,-,-,-,-,-,-,-,-,-
womens knee high heeled boots,footwear,-,-,-,-,knee,-,high,-,-,-,-,-,-
